ticker,company name,short name,industry,exchange
AKCA,Akcea Therapeutics Inc.,Akcea Therapeutics,Biotechnology,Nasdaq Global Select
AKER,Akers Biosciences Inc.,Akers Biosciences,Medical Instruments & Equipment,NASDAQ Capital Market
AKG,Asanko Gold Inc.,Asanko Gold,Metals & Mining,NYSE American
AKO.A,Embotelladora Andina S.A.,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,New York Stock Exchange
AKO.B,Embotelladora Andina S.A.,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,New York Stock Exchange
AKP,Alliance California Municipal Income Fund Inc,Alliance California Municipal Income Fund,Asset Management,New York Stock Exchange
AKR,Acadia Realty Trust,Acadia Realty Trust,REITs,New York Stock Exchange
AKRX,Akorn Inc.,Akorn,Drug Manufacturers,Nasdaq Global Select
AKS,AK Steel Holding Corporation,AK Steel Holding,Steel,New York Stock Exchange
AKTS,Akoustis Technologies Inc.,Akoustis,Communication Equipment,NASDAQ Capital Market
AKTX,Akari Therapeutics Plc,Akari Therapeutics Plc,Biotechnology,NASDAQ Capital Market
AL,Air Lease Corporation Class A,Air Lease,Consulting & Outsourcing,New York Stock Exchange
ALAC,Alberton Acquisition Corporation,Alberton Acquisition,Conglomerates,NASDAQ Capital Market
ALB,Albemarle Corporation,Albemarle,Chemicals,New York Stock Exchange
ALBO,Albireo Pharma Inc.,Albireo Pharma,Biotechnology,NASDAQ Capital Market
ALCO,Alico Inc.,Alico,Consumer Packaged Goods,Nasdaq Global Select
ALD,WisdomTree Asia Local Debt Fund,WisdomTree Asia Local Debt Fund,,NYSE Arca
ALDR,Alder BioPharmaceuticals Inc.,Alder BioPharmaceuticals,Biotechnology,NASDAQ Global Market
ALDX,Aldeyra Therapeutics Inc.,Aldeyra Therapeutics,Biotechnology,NASDAQ Capital Market
ALE,Allete Inc.,Allete,Utilities - Regulated,New York Stock Exchange
ALEX,Alexander & Baldwin Inc. REIT Holding Company,Alexander & Baldwin REIT Holding Company,REITs,New York Stock Exchange
ALFA,AlphaClone Alternative Alpha,AlphaClone Alternative Alpha,,Cboe Global Markets EDGX
ALG,Alamo Group Inc.,Alamo,Farm & Construction Machinery,New York Stock Exchange
ALGN,Align Technology Inc.,Align Technology,Medical Devices,Nasdaq Global Select
ALGR,Allegro Merger Corp.,Allegro Merger,Conglomerates,NASDAQ Capital Market
ALGT,Allegiant Travel Company,Allegiant Travel Company,Airlines,Nasdaq Global Select
ALIM,Alimera Sciences Inc.,Alimera Sciences,Drug Manufacturers,NASDAQ Global Market
ALJJ,ALJ Regional Holdings Inc.,ALJ Regional,Business Services,NASDAQ Global Market
ALK,Alaska Air Group Inc.,Alaska Air,Airlines,New York Stock Exchange
ALKS,Alkermes plc,Alkermes plc,Biotechnology,Nasdaq Global Select
ALL,Allstate Corporation (The),Allstate (The),Insurance - Property & Casualty,New York Stock Exchange
ALLE,Allegion plc,Allegion plc,Consulting & Outsourcing,New York Stock Exchange
ALLK,Allakos Inc.,Allakos,Biotechnology,Nasdaq Global Select
ALLO,Allogene Therapeutics Inc.,Allogene Therapeutics,Biotechnology,Nasdaq Global Select
ALLT,Allot Ltd.,Allot,Communication Equipment,Nasdaq Global Select
ALLY,Ally Financial Inc.,Ally Financial,Banks,New York Stock Exchange
ALNA,Allena Pharmaceuticals Inc.,Allena Pharmaceuticals,Biotechnology,Nasdaq Global Select
ALNY,Alnylam Pharmaceuticals Inc.,Alnylam Pharmaceuticals,Biotechnology,Nasdaq Global Select
ALO,Alio Gold Inc. (Canada),Alio Gold (Canada),Metals & Mining,NYSE American
ALOT,AstroNova Inc.,AstroNova,Computer Hardware,NASDAQ Global Market
ALPN,Alpine Immune Sciences Inc.,Alpine Immune Sciences,Biotechnology,NASDAQ Global Market
ALQA,Alliqua BioMedical Inc.,Alliqua BioMedical,Drug Manufacturers,NASDAQ Capital Market
ALRM,Alarm.com Holdings Inc.,Alarm.com,Application Software,Nasdaq Global Select
ALRN,Aileron Therapeutics Inc.,Aileron Therapeutics,Biotechnology,NASDAQ Global Market
ALSK,Alaska Communications Systems Group Inc.,Alaska Communications Systems,Communication Services,Nasdaq Global Select
ALSN,Allison Transmission Holdings Inc.,Allison Transmission,Autos,New York Stock Exchange
ALT,Altimmune Inc.,Altimmune,Biotechnology,NASDAQ Global Market
ALTM,Altus Midstream Company,Altus Midstream Company,Oil & Gas - Midstream,NASDAQ Capital Market
ALTR,Altair Engineering Inc.,Altair Engineering,Application Software,Nasdaq Global Select
ALV,Autoliv Inc.,Autoliv,Autos,New York Stock Exchange
ALX,Alexander's Inc.,Alexander's,REITs,New York Stock Exchange
ALXN,Alexion Pharmaceuticals Inc.,Alexion Pharmaceuticals,Biotechnology,Nasdaq Global Select
ALYA,Alithya Group inc.,Alithya,Application Software,NASDAQ Capital Market
